area_type,availability,location
Super built-up Area,Ready To Move,Bannerghatta Road
Built-up Area,Ready To Move,Doddakammanahalli
Built-up Area,Ready To Move,"Kanakapura Road,"
Built-up Area,Ready To Move,Dena Bank Colony
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Budigere
Plot Area,Ready To Move,Basavanapura
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Varthur
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,6th Phase JP Nagar
Super built-up Area,Ready To Move,Marathahalli
Plot Area,Ready To Move,Ardendale
Built-up Area,Ready To Move,Electronic City
Super built-up Area,18-Aug,Hebbal
Plot Area,Ready To Move,BTM 4th Stage
Plot Area,Ready To Move,Devanahalli Int. Airport
Built-up Area,Ready To Move,"Sarjapur Road,"
Super built-up Area,19-Dec,Hoodi
Super built-up Area,19-Jul,Kanakpura Road
Built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,Hal old airport road
Plot Area,Ready To Move,Basavangudi
Super built-up Area,19-Mar,Hosa Road
Plot Area,Ready To Move,arudi
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,Ready To Move,Ganga Nagar
Super built-up Area,Ready To Move,Dasarahalli
Super built-up Area,Ready To Move,Yelahanka New Town
Super built-up Area,Ready To Move,Kaval Byrasandra
Super built-up Area,Ready To Move,Kasavanhalli
Super built-up Area,Ready To Move,Anantapuram
Plot Area,Ready To Move,Nagavara
Built-up Area,Ready To Move,Gollarapalya Hosahalli
Built-up Area,Ready To Move,Yelahanka New Town
Built-up Area,Ready To Move,Chikka Banaswadi
Super built-up Area,18-Aug,Chandapura
Super built-up Area,Ready To Move,Thanisandra
Built-up Area,Ready To Move,Electronics City Phase 1
Super built-up Area,Ready To Move,Akshayanagara East
Super built-up Area,18-Mar,Kammasandra
Super built-up Area,18-May,Bommasandra
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,Horamavu Agara
Super built-up Area,18-May,Electronic City Phase II
Super built-up Area,Ready To Move,Green Glen Layout
Super built-up Area,Ready To Move,Whitefield
Plot Area,18-Apr,TC Palaya
Super built-up Area,Ready To Move,Malleshwaram
Super built-up Area,Ready To Move,Varthur
Super built-up Area,19-Jan,Whitefield
Super built-up Area,Ready To Move,Belatur
Super built-up Area,Ready To Move,Ramanjaneyanagar
Super built-up Area,Ready To Move,Bellandur
Plot Area,Ready To Move,Chamrajpet
Plot Area,18-May,Kaggalipura
Super built-up Area,Ready To Move,Karuna Nagar
Super built-up Area,Ready To Move,JP Nagar
Super built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Hosakerehalli
Plot Area,Ready To Move,Ulsoor
Plot Area,18-Apr,Sathya Sai Layout
Super built-up Area,18-Jun,Javarandoddi
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,19-Dec,Thanisandra main road
Super built-up Area,Ready To Move,Kudlu
Plot Area,Ready To Move,Whitefield
Super built-up Area,18-May,Bommasandra
Super built-up Area,Ready To Move,Yelahanka New Town
Plot Area,18-Nov,Chandapura
Super built-up Area,Ready To Move,Cooke Town
Built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Banashankari
Super built-up Area,Ready To Move,Akshya Nagar
Super built-up Area,Ready To Move,Kammasandra
Plot Area,Ready To Move,Vijaypura
Plot Area,Ready To Move,Bapuji Nagar
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,18-Apr,Bhoganhalli
Super built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,18-Oct,Chennammana Kere
Super built-up Area,Ready To Move,Austin Town
Plot Area,Ready To Move,3rd Block Banashankari
Plot Area,18-May,Kaikondrahalli
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Doddanekundi
Super built-up Area,Ready To Move,Hosur Road
Super built-up Area,Ready To Move,Guddadahalli
Built-up Area,Ready To Move,Ejipura
Super built-up Area,18-Apr,Mangammanapalya
Super built-up Area,21-Dec,Kanakpura Road
Built-up Area,Ready To Move,Chelekare
Built-up Area,Ready To Move,Yelahanka New Town
Plot Area,Ready To Move,2nd Stage Nagarbhavi
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,Ready To Move,Ramagondanahalli
Super built-up Area,18-Jul,Varthur
Super built-up Area,Ready To Move,Amam Enclave Layout
Built-up Area,Ready To Move,Kashi Nagar
Built-up Area,Ready To Move,Kudlu
Super built-up Area,Ready To Move,Rajaji Nagar
Super built-up Area,18-May,Gunjur
Super built-up Area,Ready To Move,Nanjappa Garden
Built-up Area,Ready To Move,Victoria Layout
Super built-up Area,Ready To Move,Harlur
Super built-up Area,20-Dec,Begur Road
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,18-Apr,Neeladri Nagar
Super built-up Area,18-Aug,4th Phase JP Nagar
Super built-up Area,Ready To Move,Kudlu
Plot Area,Ready To Move,Kammanahalli
Super built-up Area,Ready To Move,NRI Layout
Super built-up Area,Ready To Move,Hormavu
Super built-up Area,Ready To Move,Choodasandra
Super built-up Area,Ready To Move,7th Phase JP Nagar
Built-up Area,Ready To Move,Billekahalli
Plot Area,Ready To Move,Ramamurthy Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,Attibele
Super built-up Area,Ready To Move,HRBR Layout
Super built-up Area,Ready To Move,Ramamurthy Nagar
Super built-up Area,Ready To Move,Brookefield
Built-up Area,Ready To Move,Allalasandra
Super built-up Area,Ready To Move,Yelahanka New Town
Super built-up Area,Ready To Move,Green Glen Layout
Super built-up Area,18-Mar,Old Madras Road
Super built-up Area,18-Apr,Old Madras Road
Super built-up Area,Ready To Move,Singasandra
Super built-up Area,Ready To Move,Budigere
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Gollahalli
Super built-up Area,Ready To Move,Anjappa Layout
Super built-up Area,21-Dec,Kanakpura Road
Super built-up Area,18-Mar,Kothanur
Built-up Area,Ready To Move,Rachenahalli
Super built-up Area,Ready To Move,Shikaripalya
Super built-up Area,Ready To Move,AGS Layout
Super built-up Area,Ready To Move,Jakkur
Super built-up Area,Ready To Move,Kathriguppe
Super built-up Area,Ready To Move,Prithvi Layout
Super built-up Area,18-Jan,CV Raman Nagar
Super built-up Area,22-Jun,Hoodi
Plot Area,Ready To Move,Kogilu
Super built-up Area,Ready To Move,Chamrajpet
Plot Area,Ready To Move,Neeladri Nagar
Super built-up Area,Ready To Move,Malleshwaram
Super built-up Area,Ready To Move,Chikkakannalli
Super built-up Area,Ready To Move,R.T. Nagar
Super built-up Area,Ready To Move,Electronic City
Built-up Area,Ready To Move,Aishwarya Crystal Layout
Super built-up Area,18-Mar,Binny Pete
Plot Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Thanisandra
Built-up Area,Ready To Move,Begur
Super built-up Area,18-Apr,OLd Gurappanapalya
Plot Area,Ready To Move,Ramanagara Channapatna
Built-up Area,Ready To Move,Ulsoor
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Kammasandra
Super built-up Area,Ready To Move,BTM 2nd Stage
Built-up Area,Ready To Move,Ambalipura
Super built-up Area,Ready To Move,Mico Layout
Super built-up Area,Ready To Move,5th Block Hbr Layout
Plot Area,16-Jan,Sarjapur Road
Built-up Area,Ready To Move,Maheswari Nagar
Super built-up Area,Ready To Move,Doddabanahalli
Plot Area,18-Jul,Ramagondanahalli
Plot Area,Ready To Move,Sadashiva Nagar
Super built-up Area,19-Aug,Begur Road
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Nagarbhavi
Built-up Area,Ready To Move,HSR Layout
Plot Area,Ready To Move,Kamakya Layout
Super built-up Area,Ready To Move,Sector 7 HSR Layout
Super built-up Area,Ready To Move,Harlur
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,18-Jun,Kundalahalli
Super built-up Area,Ready To Move,Banashankari
Plot Area,Ready To Move,Hsr layout sector3
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Kambipura
Built-up Area,Ready To Move,Thyagraj Nagar
Super built-up Area,Ready To Move,Ramagondanahalli
Built-up Area,Ready To Move,Devasthanagalu
Super built-up Area,20-Apr,Electronics City Phase 1
Built-up Area,Ready To Move,"Sarjapur Road,"
Super built-up Area,Ready To Move,Kothanur
Built-up Area,Ready To Move,8th Phase JP Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Aug,Yeshwanthpur
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,18-Feb,Thirumenahalli
Built-up Area,20-Dec,"Hoodi Circle,"
Super built-up Area,Ready To Move,GM Palaya
Built-up Area,Ready To Move,Chikka Tirupathi
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Jalahalli East
Super built-up Area,17-Feb,Sarjapur Road
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Green Glen Layout
Super built-up Area,20-Dec,Electronics City Phase 1
Super built-up Area,18-Apr,Whitefield
Super built-up Area,18-May,Kothnoor Dinne
Built-up Area,Ready To Move,Kundalahalli
Built-up Area,18-Dec,Electronic City Phase II
Super built-up Area,Ready To Move,Chikka Banaswadi
Super built-up Area,Ready To Move,Amruthahalli
Super built-up Area,19-Mar,Hennur Road
Super built-up Area,Ready To Move,Banagirinagar
Super built-up Area,Ready To Move,Arekere
Super built-up Area,Ready To Move,Yelahanka
Plot Area,18-May,1st Block Koramangala
Built-up Area,Ready To Move,Akshaya Nagar
Super built-up Area,Ready To Move,Suraksha Nagar
Plot Area,Ready To Move,Medaralli
Super built-up Area,Ready To Move,6th block Koramangala
Super built-up Area,Ready To Move,5th Phase JP Nagar
Built-up Area,18-Apr,Basaveshwara Nagar
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Hegde Nagar
Built-up Area,Ready To Move,Rachenahalli
Super built-up Area,Ready To Move,8th Phase JP Nagar
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Anandapura
Super built-up Area,Ready To Move,Poorna Pragna Layout
Built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Hormavu
Plot Area,Ready To Move,Ejipura
Super built-up Area,18-Aug,Magadi Road
Super built-up Area,Ready To Move,Gubbalala
Plot Area,17-Aug,KR Puram
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Plot Area,Ready To Move,Banashankari
Super built-up Area,18-Apr,Electronic City Phase II
Super built-up Area,Ready To Move,Varthur
Super built-up Area,18-May,Kasavanhalli
Super built-up Area,Ready To Move,Sarjapur
Built-up Area,Ready To Move,Amruthahalli
Super built-up Area,Ready To Move,Varthur
Plot Area,Ready To Move,Ullal Uppanagar
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Doddanakundi Industrial Area 2
Super built-up Area,18-Apr,Sri Sai Layout
Built-up Area,Ready To Move,Versova Layout
Super built-up Area,Ready To Move,Kundalahalli
Super built-up Area,Ready To Move,Thanisandra
Plot Area,Ready To Move,Malleshpalya
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,JP Nagar
Built-up Area,Ready To Move,Chikkajala
Built-up Area,18-Aug,Bommasandra Industrial Area
Built-up Area,Ready To Move,Tindlu
Built-up Area,Ready To Move,Maruthi Sevanagar
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Billekahalli
Super built-up Area,Ready To Move,BSM Extension
Super built-up Area,Ready To Move,Jigani
Super built-up Area,Ready To Move,Kalyan nagar
Super built-up Area,Ready To Move,Udayagiri
Built-up Area,Ready To Move,AECS Layout
Super built-up Area,19-Mar,Hosa Road
Super built-up Area,Ready To Move,Kundalahalli
Plot Area,Ready To Move,Madiwala
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Apr,Madiwala
Super built-up Area,20-Dec,Jakkur
Super built-up Area,Ready To Move,Shankarapuram
Super built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,TC Palaya
Super built-up Area,18-Mar,Kothanur
Super built-up Area,Ready To Move,Kadubeesanahalli
Super built-up Area,Ready To Move,Ambedkar Nagar
Super built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Kumaraswami Layout
Super built-up Area,19-Sep,Chandapura
Built-up Area,Ready To Move,Doddakannelli
Built-up Area,18-Jun,Whitefield
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Kodichikkanahalli
Super built-up Area,18-Apr,Begur
Super built-up Area,Ready To Move,Kanakpura Road
Built-up Area,Ready To Move,Bannerghatta
Plot Area,Ready To Move,OMBR Layout
Super built-up Area,Ready To Move,Kalena Agrahara
Super built-up Area,Ready To Move,HSR Layout
Plot Area,18-Apr,Banjara Layout
Super built-up Area,Ready To Move,Hebbal
Plot Area,Ready To Move,Chamundi Nagar
Plot Area,Ready To Move,Wilson Garden
Super built-up Area,Ready To Move,TC Palaya
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Lingadheeranahalli
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Panathur
Plot Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,HOSUR MAIN ROAD
Super built-up Area,18-Dec,Hebbal
Super built-up Area,Ready To Move,Nagashetty Halli
Super built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,18-Jul,Devanahalli
Super built-up Area,Ready To Move,Kengeri
Built-up Area,Ready To Move,Shampura
Super built-up Area,Ready To Move,Mysore Road
Super built-up Area,Ready To Move,Domlur
Super built-up Area,18-Jan,Venkatapura
Super built-up Area,18-May,Electronic City Phase II
Built-up Area,Ready To Move,RMV
Super built-up Area,Ready To Move,Bhoopsandra
Built-up Area,Ready To Move,5th Block Hbr Layout
Super built-up Area,21-Dec,Kanakpura Road
Plot Area,Ready To Move,Kadugodi
Super built-up Area,Ready To Move,Hulimavu
Built-up Area,Ready To Move,Kengeri
Super built-up Area,19-Jun,Begur Road
Super built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,Postal Colony
Built-up Area,17-Jun,Electronic City
Super built-up Area,Ready To Move,Begur
Built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Malleshwaram
Plot Area,Ready To Move,Varthur
Super built-up Area,Ready To Move,ITPL
Built-up Area,18-Apr,Sarjapur Road
Super built-up Area,Ready To Move,pavitra paradise
Plot Area,Ready To Move,Hegde Nagar
Plot Area,Ready To Move,Shampura
Plot Area,Ready To Move,Vidyaranyapura
Plot Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Marathahalli
Built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,KR Puram
Super built-up Area,Ready To Move,Jakkur Plantation
Built-up Area,Ready To Move,Anekal
Built-up Area,Ready To Move,Doddakallasandra
Super built-up Area,Ready To Move,Anekal
Plot Area,18-May,Margondanahalli
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Subramanyapura
Built-up Area,Ready To Move,Reliaable Tranquil Layout
Super built-up Area,Ready To Move,kadubisnahalli
Plot Area,Ready To Move,Kithaganur
Built-up Area,Ready To Move,Poorna Pragna Layout
Super built-up Area,Ready To Move,NGR Layout
Super built-up Area,Ready To Move,Hegde Nagar
Super built-up Area,Ready To Move,Channasandra
Super built-up Area,Ready To Move,Attibele
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,20-Dec,Kanakpura Road
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Amblipura
Super built-up Area,Ready To Move,Lavelle Road
Plot Area,Ready To Move,Vijayanagar
Super built-up Area,Ready To Move,Sanjay nagar
Built-up Area,18-Aug,Electronic City Phase II
Super built-up Area,Ready To Move,Indira Nagar
Super built-up Area,Ready To Move,KR Puram
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,18-Feb,Mysore Road
Built-up Area,Ready To Move,Kengeri
Built-up Area,18-Dec,Electronic City
Plot Area,18-Aug,RMV 2nd Stage
Super built-up Area,Ready To Move,Kanakapura
Built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,17-Dec,Whitefield
Plot Area,Ready To Move,Varanasi
Super built-up Area,Ready To Move,Nagarbhavi
Plot Area,Ready To Move,Doddaballapur
Super built-up Area,18-Apr,Munnekollal
Built-up Area,Ready To Move,JP Nagar
Super built-up Area,18-Nov,Thanisandra
Super built-up Area,Ready To Move,EPIP Zone
Super built-up Area,Ready To Move,Kenchenahalli
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Mahalakshmi Layout
Super built-up Area,21-Dec,Hebbal
Super built-up Area,Ready To Move,Marathahalli
Built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Tumkur Road
Super built-up Area,Ready To Move,BEML Layout
Super built-up Area,Ready To Move,Geddalahalli
Built-up Area,Ready To Move,Bisuvanahalli
Built-up Area,Ready To Move,Kumaraswami Layout
Super built-up Area,Ready To Move,Electronic City
Built-up Area,Ready To Move,Ashwathnagar
Super built-up Area,Ready To Move,Sarjapur Road
